,balance_RK,balance_p_value,balance_rvalue,balance_stderr,decay_RC_cost,decay_RC_mean,decay_RC_median,decay_RC_std,decay_amnt,euler_RC_mean,euler_RC_median,euler_RC_min_cost,euler_RC_std,euler_RK_mean,euler_RK_median,euler_RK_min_cost,euler_RK_std,euler_cost,euler_cost_mean,euler_test_cost,filename
2487,29.455862542205274,0.20250330036915093,-0.5043180513601279,0.023731189214377797,,,,,,164.98851803316077,149.42400592455797,259.35652779268065,53.83145424221268,76.9618469726953,74.25630611314647,92.41709599797713,14.234567015483089,8.406056458755865,27.745406965580216,,7763218570195732a667350c41eaf752ca30847a.csv
1234,86.32420728053752,1.7711528077128748e-05,-0.6575620653658051,0.002310465639867391,,,,,,208.21429262591664,167.08199709586188,155.67342619676148,83.5041921398672,128.1708242317537,119.15662570262985,119.15662570262985,20.552394671414795,54.12327355634751,26.978194561743884,,7551915cc27e8df715fb22c415902e185869514f.csv
1341,72.22995787487991,1.7594714301204724e-13,-0.8741406644117582,0.001247823975051893,,,,,,279.64300203455554,240.41963146262617,417.5678533033894,127.08606038467742,58.860583148123496,71.36684321204963,1.0000000000000002e-06,42.88139366552748,4.14760203575035,20.974318593481712,,dd2581be3a3ceeb51aaf063876a5c18cbdcc6adf.csv
107,157.61475084271964,0.0008576881303044527,-0.518319183229741,0.001744680158871841,39.46660289151412,122.3478245624649,122.5389480645244,29.819936150134286,41.0,172.31469636626073,178.51128696872277,150.15769622197487,41.129425353065386,88.23123658915657,86.52377763558266,75.29887898044701,19.219908676121047,52.48925967007753,38.06667026228702,,7e15eb8aa9f4309527d99fb705ce6841ac89afff.csv
526,92.91725067896051,4.198182985593985e-05,-0.6004838589076237,0.002324894912137618,84.4950040578935,132.83699931625134,129.66361418868425,40.69040749508907,25.0,277.32961133653646,234.2707656289268,193.7426554959924,144.59868324416715,158.2473710059181,160.8331407850824,170.6617270615597,32.99759368824103,18.593738231136506,23.81410029495247,,528e70e56953a3d5e43933ba384d598f4d2e2832.csv
56,73.61728374908293,4.995491411515635e-07,-0.7133508929515183,0.002224150675983843,26.180187442689544,174.37618613955087,172.57164133611886,19.708137152618978,6.0,351.80498868406795,233.22297573328646,822.8123055640725,279.92975885816827,83.99514245755446,60.16711121705551,166.85329478639247,46.21784498004079,2.5218558476460675,7.509679771201789,,86c89a6018e2da25ec2fa125204095e807883fca.csv
618,76.55019076604017,4.160637020940086e-09,-0.7756139706725654,0.0017246004086321738,,,,,,112.17778167650249,110.8509168212141,121.34429888676566,17.69160092417819,64.88520531536331,62.28490226075094,72.40346558716912,7.05864071783333,9.46272516296413,8.111398116944027,,22968c930a4885529ee192b8f7f900e38a4d4368.csv
759,54.35303292191955,2.302244726889599e-10,-0.8420498220516011,0.0020515977056060944,,,,,,199.06017895835743,175.75443515554207,164.6215376128267,50.694798400189214,103.1087060995486,85.98491588905718,69.165588107885,51.99707215252665,8.049437860929093,18.188824784463684,,ce31f7536ad74af550546386c3815aa695df1153.csv
1509,65.98173656798947,1.8178902191359048e-09,-0.7801696330981757,0.001945940018462055,2.1409369560798703,181.94558971490275,181.94558971490275,,1.0,209.54437493566158,144.00998376066113,103.90970220172157,239.02673158949446,83.5488857754934,71.9938445811039,71.9938445811039,59.20203124951562,1.8424545574781397,26.82676455797033,,fa9f0426357c3a86b2415e87508c88308b96ef06.csv
1676,54.76492198166499,3.186721739981522e-05,-0.6577706779238575,0.003755458831822272,,,,,,,,,,,,,,,,,52a586fa282a0fcdf9f4a11b151fc368d4115db6.csv
893,168.9097251408851,9.956855578783796e-05,-0.5891683493636519,0.0013532299057430301,26.383260753159277,125.49264884251947,120.41373015347641,14.692059353370306,15.0,132.6142611216373,128.4855631642078,152.82239332650863,17.24117307240722,164.15512372805773,159.6193099997521,171.2077193938079,12.223252278219007,63.506687680834546,14.1956317366995,,a04ea59d399934cfab590b4b363bc97b291d46bc.csv
461,30.522707888781117,4.61105175949213e-09,-0.7742417024830274,0.004344470310616811,18.35473479934356,71.12758323423638,71.02217331522125,12.610808394868322,17.0,80.57139409647498,81.51915011963837,70.76210954124036,8.311531290251414,42.71456082280764,40.85553691778556,38.71649064585999,5.66795817700315,77.22635805829577,26.46191089230435,,3ae26c6076dccb41194b7b73d4e30838ce8284e6.csv
